Time,Incidence Number,Imported Cases,R_t
1,0.0,0.0,3.0
2,9.0,0.0,2.7
3,5.0,0.0,2.5
4,10.0,8.0,2.4
5,10.0,6.0,2.3
6,21.0,11.0,2.2
7,36.0,12.0,1.9
8,71.0,11.0,1.8
9,80.0,8.0,1.9
10,99.0,13.0,1.7
11,122.0,0.0,1.6
12,124.0,0.0,1.3
13,144.0,0.0,1.3
14,136.0,10.0,1.2
15,133.0,8.0,1.1
16,104.0,5.0,0.9
17,143.0,0.0,1.0
18,152.0,0.0,1.1
19,139.0,7.0,0.95
20,126.0,0.0,0.9
21,106.0,10.0,0.8
22,110.0,10.0,0.7
23,107.0,0.0,0.75
24,111.0,0.0,0.8
25,83.0,9.0,0.77
26,97.0,15.0,0.73
27,85.0,10.0,0.7
28,73.0,7.0,0.68
29,84.0,0.0,0.65
30,74.0,0.0,0.67
31,64.0,6.0,0.66
32,61.0,11.0,0.72
